*  
*             E T A - U M A
  1187.600      7.1374374E+08
  1188.800      6.6355437E+08
  1190.000      6.4474387E+08
  1191.200      5.9499885E+08
  1192.400      5.8112538E+08
  1193.400      5.4575008E+08
  1194.600      5.3636064E+08
  1195.800      5.2051533E+08
  1197.000      5.1496950E+08
  1198.200      5.2746394E+08
  1199.400      4.6057821E+08
  1200.600      3.8409302E+08
  1201.800      3.1421347E+08
  1203.000      2.4199650E+08
  1204.200      1.9980210E+08
  1205.200      1.6507195E+08
  1206.400      1.5870658E+08
  1207.600      1.4563418E+08
  1208.800      1.2127991E+08
  1210.000      9.9127656E+07
  1211.200      7.5789176E+07
  1212.400      6.8188880E+07
  1213.600      7.1353064E+07
  1214.800      8.9264312E+07
  1215.800      1.2288220E+08
  1217.000      1.6322464E+08
  1218.200      2.0034074E+08
  1219.400      2.7113203E+08
  1220.600      3.2309040E+08
  1221.800      3.7756858E+08
  1223.000      4.2691792E+08
  1224.200      4.5787866E+08
  1225.400      4.8693866E+08
  1226.600      5.1656077E+08
  1227.600      5.5025786E+08
  1228.800      5.8464909E+08
  1230.000      5.9976589E+08
  1231.200      6.2967590E+08
  1232.400      6.5637786E+08
  1233.600      6.9925715E+08
  1234.800      7.4452224E+08
  1236.000      7.7470662E+08
  1237.200      7.9080672E+08
  1238.400      8.2701222E+08
  1239.400      8.7634214E+08
  1240.600      8.6483174E+08
  1241.800      8.4980896E+08
  1243.000      8.5090502E+08
  1244.200      7.8510714E+08
  1245.400      7.8728934E+08
  1246.600      7.9075283E+08
  1247.800      7.8456256E+08
  1249.000      7.9951795E+08
  1250.200      7.9524032E+08
  1251.200      8.2048582E+08
  1252.400      8.5566995E+08
  1253.600      8.4670381E+08
  1254.800      8.1585056E+08
  1256.000      7.6685651E+08
  1257.200      7.3501594E+08
  1258.400      6.9336730E+08
  1259.600      7.3485779E+08
  1260.800      7.2570752E+08
  1262.000      6.9588109E+08
  1263.000      7.2254323E+08
  1264.200      7.4615238E+08
  1265.400      7.7331802E+08
  1266.600      8.3411795E+08
  1267.800      8.2533229E+08
  1269.000      8.2830995E+08
  1270.200      8.2327059E+08
  1271.400      7.9163891E+08
  1272.600      8.1899539E+08
  1273.800      8.4250483E+08
  1274.800      8.0420525E+08
  1276.000      8.0362093E+08
  1277.200      8.5021024E+08
  1278.400      8.8912179E+08
  1279.600      8.8163853E+08
  1280.800      8.7448704E+08
  1282.000      8.8715981E+08
  1283.200      8.7918515E+08
  1284.400      9.1022624E+08
  1285.600      8.6776890E+08
  1286.600      8.3863046E+08
  1287.800      8.2847366E+08
  1289.000      8.3029856E+08
  1290.200      8.0741152E+08
  1291.400      7.6759782E+08
  1292.600      7.2013235E+08
  1293.800      6.9580467E+08
  1295.000      6.9606291E+08
  1296.200      6.5770669E+08
  1297.400      6.6887072E+08
  1298.400      6.4509504E+08
  1299.600      6.3514048E+08
  1300.800      6.3080800E+08
  1302.000      6.1016339E+08
  1303.200      5.9404710E+08
  1304.400      5.9552429E+08
  1305.600      6.1586963E+08
  1306.800      6.4401651E+08
  1308.000      6.4718362E+08
  1309.200      7.1060819E+08
  1310.200      7.7373926E+08
  1311.400      7.9306918E+08
  1312.600      8.4687117E+08
  1313.800      8.4648256E+08
  1315.000      8.7835923E+08
  1316.200      8.7779238E+08
  1317.400      8.7585728E+08
  1318.600      8.6487162E+08
  1319.800      8.3231206E+08
  1320.800      8.1635053E+08
  1322.000      7.7218445E+08
  1323.200      7.7028090E+08
  1324.400      7.7000525E+08
  1325.600      7.6105216E+08
  1326.800      7.6812563E+08
  1328.000      7.8610080E+08
  1329.200      7.9006554E+08
  1330.400      7.2854810E+08
  1331.600      6.1985581E+08
  1332.600      5.8383059E+08
  1333.800      6.0979776E+08
  1335.000      7.2269715E+08
  1336.200      7.9540621E+08
  1337.400      8.2733555E+08
  1338.600      8.2563866E+08
  1339.800      8.0906214E+08
  1341.000      8.1488192E+08
  1342.200      8.2698682E+08
  1343.400      8.2445011E+08
  1344.400      8.4561683E+08
  1345.600      8.2948762E+08
  1346.800      8.5688090E+08
  1348.000      8.3584883E+08
  1349.200      8.1909427E+08
  1350.400      8.3251859E+08
  1351.600      8.5592742E+08
  1352.800      8.4071584E+08
  1354.000      8.6328915E+08
  1355.200      8.3693613E+08
  1356.200      8.2142323E+08
  1357.400      8.2907968E+08
  1358.600      8.1518797E+08
  1359.800      7.8478829E+08
  1361.000      7.8911539E+08
  1362.200      7.9283238E+08
  1363.400      7.6899648E+08
  1364.600      7.7365939E+08
  1365.800      7.8911194E+08
  1367.000      7.9294381E+08
  1368.000      7.7226925E+08
  1369.200      7.6997990E+08
  1370.400      7.6560806E+08
  1371.600      7.5801331E+08
  1372.800      7.8442816E+08
  1374.000      7.8647206E+08
  1375.200      7.9997453E+08
  1376.400      7.7462835E+08
  1377.600      7.3861274E+08
  1378.800      7.5219987E+08
  1379.800      7.5663795E+08
  1381.000      7.7999142E+08
  1382.200      7.5805658E+08
  1383.400      7.5261126E+08
  1384.600      7.4929338E+08
  1385.800      7.5163514E+08
  1387.000      7.3264877E+08
  1388.200      7.2166637E+08
  1389.400      7.1555002E+08
  1390.600      6.7965389E+08
  1391.600      6.8801792E+08
  1392.800      6.7331821E+08
  1394.000      6.8923066E+08
  1395.200      6.9959046E+08
  1396.400      6.9368410E+08
  1397.600      7.6521811E+08
  1398.800      7.3133875E+08
  1400.000      7.0598720E+08
  1401.200      6.8675002E+08
  1402.400      6.8590451E+08
  1403.400      7.0606938E+08
  1404.600      7.3059072E+08
  1405.800      7.4118957E+08
  1407.000      6.8319424E+08
  1408.200      7.1380019E+08
  1409.400      7.1174822E+08
  1410.600      7.0931424E+08
  1411.800      7.1245971E+08
  1413.000      7.3595757E+08
  1414.000      7.3169216E+08
  1415.200      7.1462202E+08
  1416.400      7.3582989E+08
  1417.600      7.4357619E+08
  1418.800      7.2447514E+08
  1420.000      7.1148723E+08
  1421.200      7.3991789E+08
  1422.400      7.5690554E+08
  1423.600      7.5765382E+08
  1424.800      7.5456557E+08
  1425.800      8.0108557E+08
  1427.000      7.4760717E+08
  1428.200      7.5458547E+08
  1429.400      7.6418202E+08
  1430.600      7.3025875E+08
  1431.800      7.6866893E+08
  1433.000      7.6669318E+08
  1434.200      7.3259245E+08
  1435.400      7.3840512E+08
  1436.600      7.5229728E+08
  1437.600      7.6976858E+08
  1438.800      7.9931078E+08
  1440.000      7.9521587E+08
  1441.200      8.1145523E+08
  1442.400      8.0483238E+08
  1443.600      7.8559866E+08
  1444.800      7.8062029E+08
  1446.000      7.9048026E+08
  1447.200      8.0925760E+08
  1448.400      8.0177542E+08
  1449.400      8.1172077E+08
  1450.600      8.0511699E+08
  1451.800      7.9608595E+08
  1453.000      7.9239027E+08
  1454.200      7.9709875E+08
  1455.400      8.0221568E+08
  1456.600      8.1587744E+08
  1457.800      8.1388403E+08
  1459.000      8.1275706E+08
  1460.200      8.1780205E+08
  1461.200      8.2083904E+08
  1462.400      7.8795693E+08
  1463.600      7.5865107E+08
  1464.800      7.8508992E+08
  1466.000      7.9750848E+08
  1467.200      7.7393978E+08
  1468.400      7.9238157E+08
  1469.600      7.8717523E+08
  1470.800      7.7628691E+08
  1472.000      7.6701990E+08
  1473.000      7.9337747E+08
  1474.200      8.0576435E+08
  1475.400      7.8493478E+08
  1476.600      8.0431475E+08
  1477.800      8.0116998E+08
  1479.000      8.0422995E+08
  1480.200      7.9439379E+08
  1481.400      7.6031046E+08
  1482.600      7.5143219E+08
  1483.800      7.7734797E+08
  1484.800      7.9600032E+08
  1486.000      8.1826010E+08
  1487.200      8.2938560E+08
  1488.400      8.0321869E+08
  1489.600      7.9414266E+08
  1490.800      7.8935629E+08
  1492.000      7.8650656E+08
  1493.200      7.9744544E+08
  1494.400      8.1183840E+08
  1495.600      8.1443821E+08
  1496.600      8.1025158E+08
  1497.800      7.8642541E+08
  1499.000      7.6751859E+08
  1500.200      7.7598528E+08
  1501.400      7.7352013E+08
  1502.600      7.7454675E+08
  1503.800      7.7958733E+08
  1505.000      7.6473939E+08
  1506.200      7.6994605E+08
  1507.400      7.4967360E+08
  1508.400      7.5360518E+08
  1509.600      7.5280301E+08
  1510.800      7.5967629E+08
  1512.000      7.5553882E+08
  1513.200      7.3897126E+08
  1514.400      7.3881549E+08
  1515.600      7.4861907E+08
  1516.800      7.4261997E+08
  1518.000      7.6930214E+08
  1519.000      7.9055149E+08
  1520.200      7.7213869E+08
  1521.400      7.6946438E+08
  1522.600      7.7666208E+08
  1523.800      7.3612077E+08
  1525.000      7.4284506E+08
  1526.200      7.3656704E+08
  1527.400      7.2987398E+08
  1528.600      7.1210310E+08
  1529.800      6.9655072E+08
  1530.800      6.7423853E+08
  1532.000      6.9565645E+08
  1533.200      6.8277126E+08
  1534.400      7.0329798E+08
  1535.600      7.0638266E+08
  1536.800      6.9322419E+08
  1538.000      7.0801792E+08
  1539.200      7.3038541E+08
  1540.400      7.2642342E+08
  1541.600      7.1560192E+08
  1542.600      7.4389472E+08
  1543.800      7.2134470E+08
  1545.000      6.9635648E+08
  1546.200      7.2837216E+08
  1547.400      7.3608358E+08
  1548.600      7.1032269E+08
  1549.800      7.1052550E+08
  1551.000      7.1248006E+08
  1552.200      7.1407770E+08
  1553.400      7.3571354E+08
  1554.400      7.2351328E+08
  1555.600      7.2042342E+08
  1556.800      7.1568832E+08
  1558.000      7.0063584E+08
  1559.200      6.9507776E+08
  1560.400      7.1586278E+08
  1561.600      7.1600582E+08
  1562.800      6.9578176E+08
  1564.000      7.0421280E+08
  1565.200      7.0781274E+08
  1566.200      7.3761427E+08
  1567.400      7.3272762E+08
  1568.600      7.0803968E+08
  1569.800      7.1382368E+08
  1571.000      7.2525190E+08
  1572.200      7.1184826E+08
  1573.400      7.3469158E+08
  1574.600      7.2315590E+08
  1575.800      7.1200147E+08
  1577.000      7.3108019E+08
  1578.000      7.2586214E+08
  1579.200      7.1675622E+08
  1580.400      7.4264448E+08
  1581.600      7.4625069E+08
  1582.800      7.3679514E+08
  1584.000      7.4176109E+08
  1585.200      7.4974605E+08
  1586.400      7.4118637E+08
  1587.600      7.6846643E+08
  1588.800      7.6778662E+08
  1589.800      7.5826131E+08
  1591.000      7.3749446E+08
  1592.200      7.3500467E+08
  1593.400      7.2732845E+08
  1594.600      7.1896314E+08
  1595.800      7.2433197E+08
  1597.000      7.2685267E+08
  1598.200      7.1796288E+08
  1599.400      7.1971187E+08
  1600.600      7.1245658E+08
  1601.600      7.0303546E+08
  1602.800      7.1369677E+08
  1604.000      7.0649126E+08
  1605.200      7.1010278E+08
  1606.400      7.1266157E+08
  1607.600      6.9676486E+08
  1608.800      6.9291526E+08
  1610.000      6.9894093E+08
  1611.200      7.0852806E+08
  1612.400      7.2898016E+08
  1613.400      7.2102483E+08
  1614.600      7.4023155E+08
  1615.800      7.4167475E+08
  1617.000      7.3588320E+08
  1618.200      7.3677901E+08
  1619.400      7.3689222E+08
  1620.600      7.3017696E+08
  1621.800      7.2142234E+08
  1623.000      7.2869530E+08
  1624.000      7.3043194E+08
  1625.200      7.1645094E+08
  1626.400      7.2497645E+08
  1627.600      7.3193958E+08
  1628.800      7.3267450E+08
  1630.000      7.3355507E+08
  1631.200      7.2239565E+08
  1632.400      7.3795936E+08
  1633.600      7.4927366E+08
  1634.800      7.4357946E+08
  1635.800      7.2342278E+08
  1637.000      7.3470771E+08
  1638.200      7.4180672E+08
  1639.400      7.1726477E+08
  1640.600      7.3099674E+08
  1641.800      7.4083648E+08
  1643.000      7.3142227E+08
  1644.200      7.4179206E+08
  1645.400      7.4530413E+08
  1646.600      7.3564410E+08
  1647.600      7.4120749E+08
  1648.800      7.4040717E+08
  1650.000      7.2799635E+08
  1651.200      7.2059270E+08
  1652.400      7.3026835E+08
  1653.600      7.2744346E+08
  1654.800      7.2000115E+08
  1656.000      7.3242842E+08
  1657.200      7.3867597E+08
  1658.400      7.2740512E+08
  1659.400      7.3791078E+08
  1660.600      7.3732768E+08
  1661.800      7.3699904E+08
  1663.000      7.3170336E+08
  1664.200      7.2794522E+08
  1665.400      7.3215661E+08
  1666.600      7.2947501E+08
  1667.800      7.3926176E+08
  1669.000      7.2183750E+08
  1670.200      7.2574259E+08
  1671.200      7.3590746E+08
  1672.400      7.3659942E+08
  1673.600      7.4232000E+08
  1674.800      7.4123194E+08
  1676.000      7.3903942E+08
  1677.200      7.5939942E+08
  1678.400      7.7276122E+08
  1679.600      7.6627072E+08
  1680.800      7.6435488E+08
  1682.000      7.6825043E+08
  1683.000      7.6074304E+08
  1684.200      7.5132819E+08
  1685.400      7.5887770E+08
  1686.600      7.4607699E+08
  1687.800      7.4437018E+08
  1689.000      7.4201363E+08
  1690.200      7.4670150E+08
  1691.400      7.5209414E+08
  1692.600      7.3655571E+08
  1693.800      7.4682938E+08
  1694.800      7.6784902E+08
  1696.000      7.5204954E+08
  1697.200      7.4837421E+08
  1698.400      7.5008032E+08
  1699.600      7.4563155E+08
  1700.800      7.4073562E+08
  1702.000      7.3127290E+08
  1703.200      7.3718522E+08
  1704.400      7.3366304E+08
  1705.600      7.2718950E+08
  1706.600      7.2058163E+08
  1707.800      6.9661952E+08
  1709.000      6.9863398E+08
  1710.200      6.9885190E+08
  1711.400      7.0864787E+08
  1712.600      7.2642502E+08
  1713.800      7.2046931E+08
  1715.000      7.1053485E+08
  1716.200      6.9616384E+08
  1717.400      6.7844307E+08
  1718.400      6.6852122E+08
  1719.600      6.5270266E+08
  1720.800      6.6258464E+08
  1722.000      6.7082560E+08
  1723.200      6.6548787E+08
  1724.400      6.9732966E+08
  1725.600      7.1455610E+08
  1726.800      7.1482758E+08
  1728.000      7.3067098E+08
  1729.000      7.3364045E+08
  1730.200      7.3494010E+08
  1731.400      7.4089178E+08
  1732.600      7.3843917E+08
  1733.800      7.4064294E+08
  1735.000      7.3902317E+08
  1736.200      7.4432934E+08
  1737.400      7.3452064E+08
  1738.600      7.2621133E+08
  1739.800      7.2297018E+08
  1740.800      7.3037421E+08
  1742.000      7.2945094E+08
  1743.200      7.3250240E+08
  1744.400      7.3226112E+08
  1745.600      7.2996211E+08
  1746.800      7.3233670E+08
  1748.000      7.2557210E+08
  1749.200      7.2679680E+08
  1750.400      7.3518547E+08
  1751.600      7.4279290E+08
  1752.600      7.5903264E+08
  1753.800      7.6892723E+08
  1755.000      7.5638880E+08
  1756.200      7.2126554E+08
  1757.400      7.2721824E+08
  1758.600      7.2919469E+08
  1759.800      7.1478835E+08
  1761.000      7.0880506E+08
  1762.200      7.3113805E+08
  1763.400      7.4411200E+08
  1764.400      7.3488525E+08
  1765.600      7.3652666E+08
  1766.800      7.4534995E+08
  1768.000      7.5132986E+08
  1769.200      7.4761043E+08
  1770.400      7.5319654E+08
  1771.600      7.4741018E+08
  1772.800      7.4072422E+08
  1774.000      7.3401914E+08
  1775.200      7.3212448E+08
  1776.200      7.3595757E+08
  1777.400      7.4557747E+08
  1778.600      7.5794003E+08
  1779.800      7.5914099E+08
  1781.000      7.5797165E+08
  1782.200      7.5976474E+08
  1783.400      7.6304851E+08
  1784.600      7.5347610E+08
  1785.800      7.4006093E+08
  1787.000      7.3998125E+08
  1788.000      7.3823814E+08
  1789.200      7.5993990E+08
  1790.400      7.5892269E+08
  1791.600      7.5843955E+08
  1792.800      7.5849446E+08
  1794.000      7.6023200E+08
  1795.200      7.5980314E+08
  1796.400      7.7131680E+08
  1797.600      7.6974995E+08
  1798.800      7.7313798E+08
  1799.800      7.7963014E+08
  1801.000      7.7442426E+08
  1802.200      7.7302598E+08
  1803.400      7.7953088E+08
  1804.600      7.7441747E+08
  1805.800      7.7276461E+08
  1807.000      7.6756410E+08
  1808.200      7.7255930E+08
  1809.400      7.7205389E+08
  1810.600      7.7571437E+08
  1811.600      7.6288768E+08
  1812.800      7.4742989E+08
  1814.000      7.5094227E+08
  1815.200      7.5150643E+08
  1816.400      7.5126554E+08
  1817.600      7.5269056E+08
  1818.800      7.5665459E+08
  1820.000      7.5845786E+08
  1821.200      7.6057434E+08
  1822.400      7.6909274E+08
  1823.400      7.5806157E+08
  1824.600      7.5264762E+08
  1825.800      7.4964890E+08
  1827.000      7.4401722E+08
  1828.200      7.3349709E+08
  1829.400      7.3796589E+08
  1830.600      7.4563808E+08
  1831.800      7.3908646E+08
  1833.000      7.2610925E+08
  1834.000      7.2495098E+08
  1835.200      7.2816742E+08
  1836.400      7.2521210E+08
  1837.600      7.3487392E+08
  1838.800      7.2963680E+08
  1840.000      7.1020570E+08
  1841.200      7.0251232E+08
  1842.400      7.0774592E+08
  1843.600      6.9983168E+08
  1844.800      6.9743379E+08
  1845.800      7.0628186E+08
  1847.000      6.9992698E+08
  1848.200      6.9559994E+08
  1849.400      6.8128410E+08
  1850.600      6.7390842E+08
  1851.800      6.6509926E+08
  1853.000      6.7212608E+08
  1854.200      6.8180339E+08
  1855.400      6.9060326E+08
  1856.600      6.9910208E+08
  1857.600      6.8727347E+08
  1858.800      6.8105670E+08
  1860.000      6.8271283E+08
  1861.200      6.8722067E+08
  1862.400      6.9874298E+08
  1863.600      6.9503347E+08
  1864.800      7.0873658E+08
  1866.000      7.2039174E+08
  1867.200      7.1877530E+08
  1868.400      7.3060358E+08
  1869.400      7.3360666E+08
  1870.600      7.3232384E+08
  1871.800      7.4112448E+08
  1873.000      7.4810963E+08
  1874.200      7.3823168E+08
  1875.400      7.3154912E+08
  1876.600      7.2932442E+08
  1877.800      7.3441094E+08
  1879.000      7.2168378E+08
  1880.200      7.0595002E+08
  1881.200      7.0974426E+08
  1882.400      7.0720525E+08
  1883.600      6.9550221E+08
  1884.800      6.8144416E+08
  1886.000      6.7399872E+08
  1887.200      6.6832896E+08
  1888.400      6.6738010E+08
  1889.600      6.5881395E+08
  1890.800      6.5737894E+08
  1892.000      6.6062336E+08
  1893.000      6.5978106E+08
  1894.200      6.6913811E+08
  1895.400      6.7797990E+08
  1896.600      6.8785024E+08
  1897.800      6.9053958E+08
  1899.000      6.8662483E+08
  1900.200      6.8499686E+08
  1901.400      6.8133344E+08
  1902.600      6.8198912E+08
  1903.800      6.8088474E+08
  1904.800      6.7834323E+08
  1906.000      6.7593741E+08
  1907.200      6.7814963E+08
  1908.400      6.7947930E+08
  1909.600      6.7781165E+08
  1910.800      6.7463693E+08
  1912.000      6.6837446E+08
  1913.200      6.6921299E+08
  1914.400      6.7279501E+08
  1915.600      6.7363917E+08
  1916.600      6.7090810E+08
  1917.800      6.7759443E+08
  1919.000      6.8043936E+08
  1920.200      6.7487840E+08
  1921.400      6.8096851E+08
  1922.600      6.9177197E+08
  1923.800      6.9235706E+08
  1925.000      6.9377702E+08
  1926.200      6.8610938E+08
  1927.400      6.5501286E+08
  1928.400      6.7933453E+08
  1929.600      6.9709696E+08
  1930.800      7.0096058E+08
  1932.000      7.0755475E+08
  1933.200      6.8726291E+08
  1934.400      6.8377805E+08
  1935.600      6.7951206E+08
  1936.800      6.7838944E+08
  1938.000      6.8618470E+08
  1939.000      6.8921254E+08
  1940.200      6.9865242E+08
  1941.400      7.0141939E+08
  1942.600      7.0172448E+08
  1943.800      6.9679699E+08
  1945.000      6.9079590E+08
  1946.200      6.8747123E+08
  1947.400      6.8229165E+08
  1948.600      6.8717990E+08
  1949.800      6.8034970E+08
  1950.800      6.7265024E+08
  1952.000      6.7404755E+08
  1953.200      6.8058432E+08
  1954.400      6.9163373E+08
  1955.600      7.0335200E+08
  1956.800      7.0042048E+08
  1958.000      6.8615610E+08
  1959.200      6.9675718E+08
  1960.400      7.0141939E+08
  1961.600      6.9472525E+08
  1962.600      7.0443552E+08
  1963.800      7.0774899E+08
  1965.000      7.1453414E+08
  1966.200      7.1504582E+08
  1967.400      7.2221645E+08
  1968.600      7.2874810E+08
  1969.800      7.3935917E+08
  1970.200      7.4318278E+08
  1972.000      7.4035021E+08
  1973.800      7.5169786E+08
  1975.800      7.6475110E+08
  1977.600      7.2971373E+08
  1979.400      7.2814342E+08
  1981.400      7.2417933E+08
  1983.200      7.2840570E+08
  1985.000      7.1009190E+08
  1987.000      7.2642502E+08
  1988.800      7.3330707E+08
  1990.600      7.2058003E+08
  1992.600      7.2895296E+08
  1994.400      7.2680320E+08
  1996.200      7.3316698E+08
  1998.200      7.0391136E+08
  2000.000      6.8917466E+08
  2001.800      7.1217658E+08
  2003.800      7.3267130E+08
  2005.600      7.1541338E+08
  2007.400      7.2012448E+08
  2009.400      7.3990656E+08
  2011.200      7.3800314E+08
  2013.200      7.1101402E+08
  2015.000      7.1811898E+08
  2016.800      7.1126387E+08
  2018.800      7.3671910E+08
  2020.600      7.3821549E+08
  2022.400      7.5967296E+08
  2024.400      7.4258573E+08
  2026.200      7.3247181E+08
  2028.000      7.3633741E+08
  2030.000      7.4023642E+08
  2031.800      7.4802426E+08
  2033.600      7.2752653E+08
  2035.600      7.1365446E+08
  2037.400      6.9368102E+08
  2039.200      7.2078259E+08
  2041.200      7.4143379E+08
  2043.000      7.3460448E+08
  2044.800      7.2201824E+08
  2046.800      7.1388326E+08
  2048.600      7.2479821E+08
  2050.400      7.3457549E+08
  2052.400      7.3122470E+08
  2054.200      7.3136282E+08
  2056.000      7.2734758E+08
  2058.000      7.2277171E+08
  2059.800      7.2173606E+08
  2061.800      7.2089658E+08
  2063.600      7.4272275E+08
  2065.400      7.3482554E+08
  2067.400      7.3863219E+08
  2069.200      7.2855930E+08
  2071.000      7.3916275E+08
  2073.000      7.2424608E+08
  2074.800      7.2954067E+08
  2076.600      7.2173766E+08
  2078.600      7.0986112E+08
  2080.400      7.2641229E+08
  2082.200      7.3955405E+08
  2084.200      7.2817542E+08
  2086.000      7.1993158E+08
  2087.800      7.4388813E+08
  2089.800      7.4880160E+08
  2091.600      7.5621606E+08
  2093.400      7.4733798E+08
  2095.400      7.5249888E+08
  2097.200      7.4057786E+08
  2099.000      7.4526976E+08
  2101.000      7.4248794E+08
  2102.800      7.1896947E+08
  2104.800      7.2975219E+08
  2106.600      7.3786374E+08
  2108.400      7.4296902E+08
  2110.400      7.3990656E+08
  2112.200      7.4532211E+08
  2114.000      7.4420352E+08
  2116.000      7.5263437E+08
  2117.800      7.1167635E+08
  2119.600      7.1272262E+08
  2121.600      7.0090669E+08
  2123.400      7.5215686E+08
  2125.200      7.4459578E+08
  2127.200      7.5485229E+08
  2129.000      7.5971802E+08
  2130.800      7.7391424E+08
  2132.800      7.9016966E+08
  2134.600      7.5089773E+08
  2136.400      7.4808173E+08
  2138.400      7.5146189E+08
  2140.200      7.4346029E+08
  2142.000      7.3321210E+08
  2144.000      7.3919846E+08
  2145.800      7.3527584E+08
  2147.600      7.2650637E+08
  2149.600      7.3395309E+08
  2151.400      7.0475584E+08
  2153.400      7.1609235E+08
  2155.200      7.4278797E+08
  2157.000      7.6810202E+08
  2159.000      7.3505952E+08
  2160.800      7.2119264E+08
  2162.600      7.2592749E+08
  2164.600      7.3520160E+08
  2166.400      7.3642477E+08
  2168.200      7.1428941E+08
  2170.200      7.2523757E+08
  2172.000      7.1423763E+08
  2173.800      7.1424550E+08
  2175.800      7.1025094E+08
  2177.600      7.2967206E+08
  2179.400      7.3498528E+08
  2181.400      7.2106125E+08
  2183.200      7.1746643E+08
  2185.000      7.1126541E+08
  2187.000      6.9809267E+08
  2188.800      7.3804038E+08
  2190.600      7.4611142E+08
  2192.600      7.2108659E+08
  2194.400      7.1418746E+08
  2196.200      7.1582035E+08
  2198.200      7.0196794E+08
  2200.000      7.0315123E+08
  2202.000      6.9682605E+08
  2203.800      7.1789824E+08
  2205.600      7.1040851E+08
  2207.600      7.2048352E+08
  2209.400      7.2219584E+08
  2211.200      7.0678144E+08
  2213.200      7.1032422E+08
  2215.000      7.1902944E+08
  2216.800      7.1015110E+08
  2218.800      6.7221318E+08
  2220.600      6.7128090E+08
  2222.400      6.6299507E+08
  2224.400      6.8260941E+08
  2226.200      6.7452582E+08
  2228.000      6.9180691E+08
  2230.000      6.8415654E+08
  2231.800      6.8255994E+08
  2233.600      6.9433632E+08
  2235.600      7.0576557E+08
  2237.400      7.1071744E+08
  2239.200      6.8757088E+08
  2241.200      7.1644621E+08
  2243.000      6.8459686E+08
  2245.000      6.7732365E+08
  2246.800      6.8418061E+08
  2248.600      7.0914291E+08
  2250.600      7.0175526E+08
  2252.400      7.0544326E+08
  2254.200      7.0936403E+08
  2256.200      7.0394534E+08
  2258.000      6.7715712E+08
  2259.800      6.9354240E+08
  2261.800      7.1880371E+08
  2263.600      6.8570118E+08
  2265.400      6.5768070E+08
  2267.400      6.6260941E+08
  2269.200      6.9279661E+08
  2271.000      6.9438669E+08
  2273.000      7.3756410E+08
  2274.800      7.3634554E+08
  2276.600      7.5638714E+08
  2278.600      7.1867744E+08
  2280.400      6.9889024E+08
  2282.200      7.2713363E+08
  2284.200      7.1147008E+08
  2286.000      6.9313594E+08
  2287.800      7.0834291E+08
  2289.800      7.1377043E+08
  2291.600      7.2744026E+08
  2293.600      7.1305760E+08
  2295.400      7.2205472E+08
  2297.200      7.2450221E+08
  2299.200      7.0542317E+08
  2301.000      6.8072627E+08
  2302.800      6.9111757E+08
  2304.800      6.9072307E+08
  2306.600      7.0490438E+08
  2308.400      6.9834874E+08
  2310.400      7.0711053E+08
  2312.200      7.0774125E+08
  2314.000      7.2509107E+08
  2316.000      7.1227200E+08
  2317.800      7.1554534E+08
  2319.600      7.3278554E+08
  2321.600      6.9968416E+08
  2323.400      6.6717933E+08
  2325.200      7.0241050E+08
  2327.200      7.0004685E+08
  2329.000      6.8582470E+08
  2330.800      6.8151002E+08
  2332.800      6.8216282E+08
  2334.600      6.9132397E+08
  2336.400      7.1115456E+08
  2338.400      6.8664442E+08
  2340.200      6.8095802E+08
